73.32          39.51        5.5
73.40          39.43        6.9
131.00         48.05        5.1
118.85         49.85        5.1
95.16          28.82        5.1
95.42          29.48        5  
94.60          28.93        6.1
95.52          29.84        5.2
95.59          29.64        5.7
95.16          28.78        5  
92.82          27.84        5  
92.83          27.92        5.3
100.39         38.01        5.3
104.03         35.36        5  
103.74         37.12        5.1
96.57          42.94        5.1
100.67         39.50        5  
104.21         34.56        5.6
104.21         34.54        6.7
102.00         37.75        5  
96.10          39.62        5.2
105.05         33.04        5.1
101.29         38.50        5  
103.96         37.09        5  
104.99         33.07        5.2
104.51         34.05        5  
103.93         34.70        5  
104.98         33.80        5  
95.22          39.63        5  
103.94         34.70        5.3
101.17         38.40        5  
101.11         38.46        5.8
100.97         38.39        6.1
98.03          39.59        5.1
97.32          39.82        5.9
97.93          39.17        5.4
103.91         37.06        5.9
77.72          36.37        5.2
76.55          36.80        5  
79.70          35.78        5.3
79.80          35.90        5.2
80.60          35.03        5.4
78.56          32.10        5   
80.80          43.30        5  
82.81          46.09        5.4
80.26          45.09        5.1
81.23          45.29        5   
77.30          40.15        5  
77.64          40.62        5  
77.48          40.18        5.1
77.76          40.11        5  
77.91          40.04        5  
77.25          40.10        5  
78.27          41.27        5.4
75.80          40.03        5.1
78.81          41.54        5.1
79.57          41.67        5.5
79.57          41.66        6.2
79.14          41.89        5.6
77.77          40.61        5  
77.51          40.30        5.5
77.58          40.23        5.1
80.73          42.87        5.5
80.60          42.98        5.2
80.71          42.96        6.1
77.17          40.53        5  
77.90          40.32        5  
76.64          40.11        5  
77.70          40.24        5  
98.94          23.50        5.5
97.86          24.96        5  
97.80          25.02        6.1
97.83          24.98        5.9
97.60          25.15        5.2
98.70          25.00        5.2
98.69          25.05        5.3
97.95          24.65        5.9
97.90          24.70        5  
97.74          23.91        5.1
97.80          24.82        5  
97.79          24.91        6.1
97.81          24.93        5.3
97.89          25.09        5  
97.71          24.40        5.2
100.01         21.56        5.7
100.83         22.68        5.2
98.90          24.75        5.1
99.88          22.37        5.3
97.67          24.33        5.7
129.95         44.81        6.1
124.16         44.68        5.1
124.10         44.64        5  
124.10         44.60        5.8
124.13         44.67        5.2
130.54         46.06        5.1
124.13         44.64        5.1
124.17         44.68        5.1
124.09         44.66        5.6
125.20         49.75        5  
122.71         49.22        5.2
122.35         42.90        5.3
123.20         41.50        5.1
118.47         39.71        5.1
123.01         44.49        5  
123.07         47.08        5  
122.72         49.03        5.1
116.35         38.97        5  
124.21         44.69        5.1
120.95         49.88        5.4
124.97         46.90        5.3
122.72         51.12        5  
118.28         45.46        5.6
119.80         43.91        5.6
124.88         50.88        5.1
117.55         44.70        5.2
129.90         44.79        6.2
114.67         37.40        5  
123.00         40.58        5.2
82.59          43.60        5  
84.12          42.19        5.1
85.17          43.82        5  
85.67          44.11        5.1
94.31          43.06        5.1
87.58          43.79        5.1
86.80          43.40        5.6
84.74          43.42        6.6
84.22          42.17        5.3
93.10          44.85        5.3
87.50          42.10        5  
82.45          43.60        5.7
82.70          44.25        5.2
90.36          46.01        5.2
88.30          42.95        5.1
86.14          44.07        5  
83.95          42.65        5.5
82.47          42.87        5.7
83.62          44.21        5  
82.62          43.27        5.1
85.14          44.03        5.1
89.47          47.68        5.3
83.14          43.98        5  
94.36          43.13        5.2
82.30          42.01        5  
84.58          43.04        5.1
84.65          43.04        5.5
81.26          44.62        5  
85.92          43.95        5.4
85.90          43.91        5.3
87.28          43.39        5.4
82.31          42.33        5  
84.68          43.96        5.1
84.62          42.87        5  
84.80          42.95        5  
81.50          44.29        5.4
101.65         37.66        6.6
98.20          34.36        5.3
97.79          36.42        5.3
101.53         37.73        5.3
95.87          37.59        5.2
96.05          32.40        5.3
91.74          38.72        5.1
96.28          33.28        5  
96.20          33.31        5  
96.22          33.31        5.4
96.21          33.26        5.9
96.57          33.22        6.4
96.40          33.04        5  
96.89          33.00        5.2
96.59          33.22        7.3
96.59          33.11        5  
96.65          37.57        5  
95.77          37.59        5.3
95.68          37.68        5  
95.66          37.66        5  
95.66          37.67        5.2
95.84          37.51        5  
95.92          37.67        5  
96.05          37.65        5.1
95.98          37.74        6.1
95.65          37.85        5.3
95.80          37.67        5  
95.73          37.63        5.2
95.84          37.77        5  
95.84          37.70        5.5
95.90          37.60        6.6
95.62          37.64        5.1
95.92          37.63        5.2
95.75          37.68        5.3
95.82          37.72        5  
95.91          37.66        6.6
91.73          33.50        5.2
92.11          33.16        5  
92.11          33.15        5.4
92.12          33.23        5.1
91.21          35.28        5.6
92.08          33.07        5.4
92.10          33.04        5.1
92.07          33.10        5.5
92.14          33.12        5.2
101.92         37.97        5.2
90.48          33.24        5.1
90.70          33.25        5.4
91.93          37.81        5.6
96.22          33.04        5.8
96.24          33.03        5.3
95.62          35.52        5.4
93.91          36.42        5.2
93.25          35.77        5  
93.19          35.72        5.1
92.59          35.83        5.4
96.65          37.57        5.7
96.61          37.54        5.2
96.65          37.52        5.5
96.66          37.63        5.3
92.02          33.29        5  
96.67          37.51        5.1
96.62          37.53        5.2
94.48          37.68        5  
96.52          37.46        5  
96.47          37.51        5  
96.42          37.57        5  
96.52          37.56        6.6
91.42          36.11        5  
95.96          35.19        5.5
92.92          35.74        5.3
99.38          35.93        5.1
93.50          33.40        5.4
94.27          34.21        6.1
92.91          35.84        5.1
92.90          35.83        5.3
91.03          36.08        5  
93.66          35.75        5.6
93.72          35.82        5.8
94.53          35.73        5.4
94.12          35.81        5.1
93.93          35.77        5.4
93.29          35.57        5.6
90.53          35.92        8.2
95.56          33.21        5.8
90.53          35.82        5  
90.95          33.99        5  
90.75          33.76        5.1
95.10          34.14        5.2
99.51          35.44        5.2
99.43          35.53        5  
99.43          35.39        5.2
99.58          35.63        5.1
99.42          35.53        5.2
99.44          35.44        6.7
91.08          33.94        5.2
91.01          33.90        5.3
103.20         29.30        5  
101.75         30.20        5.9
101.68         30.29        6.4
102.74         28.38        5.2
103.51         28.12        5.2
105.24         31.46        5.1
103.57         28.14        5.1
104.95         28.40        5  
103.00         30.34        5.4
103.00         30.26        5  
102.94         30.24        5.4
103.01         30.25        5  
102.84         30.13        5.1
102.99         30.28        5  
102.95         30.19        5.1
102.99         30.17        5.3
102.92         30.32        5.4
102.99         30.30        7  
105.20         31.21        5.2
99.40          30.95        5.5
104.18         31.85        5  
103.79         31.37        5  
105.30         32.60        5.2
100.80         31.28        5.4
105.20         32.56        5  
104.83         32.31        5  
103.49         31.17        5  
101.45         30.60        5  
103.80         31.23        5  
103.23         31.00        5  
105.19         32.58        5  
105.56         32.90        5.2
103.98         31.46        5  
103.96         31.46        5.5
103.21         31.26        5  
105.48         32.52        5.1
103.58         31.29        5  
104.81         32.15        5  
105.37         32.47        5  
105.67         32.92        5.5
105.19         32.35        5.1
102.06         26.25        5.1
102.06         26.27        5.8
102.06         26.30        6.3
104.73         32.12        5  
105.61         32.72        6.5
105.27         32.42        5  
104.85         32.02        6.2
105.61         32.76        6  
105.57         32.75        5  
105.63         32.72        5.7
105.28         32.47        5.1
103.79         31.09        5.3
104.45         31.88        5  
105.06         32.36        5  
104.22         31.59        5  
103.74         31.23        5  
105.70         32.78        5.7
105.65         32.76        5.3
105.48         32.55        6.4
105.07         32.26        5  
105.38         32.47        5.5
105.20         32.18        5  
105.08         32.20        6.1
103.67         31.21        5  
104.73         32.19        5  
103.69         31.08        5  
103.45         31.31        5.9
104.16         31.39        5  
103.85         31.21        5.1
104.12         31.41        5.1
104.24         31.95        5.1
103.63         31.34        5.8
103.82         31.25        5  
104.47         31.66        5  
104.05         31.36        5  
105.10         32.24        5.1
105.37         32.43        5  
105.24         32.35        5.1
103.42         30.95        6.1
103.70         31.21        5  
103.63         31.28        5.2
103.58         31.34        5.4
104.34         31.37        5.1
103.66         31.06        5  
103.56         31.30        5  
105.17         32.33        5.2
104.55         31.73        5.2
104.06         31.43        5.8
103.80         31.19        5.1
104.81         32.17        5  
104.21         31.21        5  
103.62         31.26        5.1
104.84         32.12        5.1
103.68         31.21        5.1
